nombre,descripcion
Volcán Químico,Mezcla bicarbonato de sodio con vinagre para crear un volcán de espuma.
Electricidad Estática,Frota un globo en tu cabello y observa cómo atrae pequeños papeles.
Densidad de Líquidos,Vierte agua aceite y miel en un vaso observa cómo se separan por densidad.
Lámpara de Lava,Crea una lámpara de lava con agua aceite colorante y pastillas efervescentes.
Colores en Movimiento,Coloca gotas de colorante en leche y añade detergente para ver cómo se dispersan.
Óxidos y Metales,Coloca un clavo en vinagre por unos días y observa cómo se oxida.
Cristales de Sal,Disuelve sal en agua caliente deja enfriar y observa la formación de cristales.
Reacción de Mentos y Coca-Cola,Coloca Mentos en una botella de Coca-Cola y observa la explosión de espuma.
Huevo Flotante,Disuelve sal en agua y coloca un huevo para ver cómo flota.
Huevo que Rebota,Coloca un huevo en vinagre por 48 horas y observa cómo la cáscara se disuelve.
Colores de la Luz,Usa un CD para reflejar la luz y observar el espectro de colores.
Circuito de Limón,Usa limones monedas y clips para generar electricidad y encender un LED.
Capilaridad del Agua,Coloca flores blancas en agua con colorante y observa cómo cambian de color.
Reflejos en el Agua,Coloca un lápiz en un vaso de agua y observa cómo parece estar roto por la refracción.
Inflado Mágico de Globo,Coloca bicarbonato en un globo y mézclalo con vinagre en una botella para inflarlo.
Espejismo en una Cuchara,Coloca una cuchara en agua y observa cómo la imagen se distorsiona.
El Sonido Viaja en el Agua,Golpea un objeto bajo el agua y escucha cómo el sonido se amplifica.
Magnetismo con Clips,Usa un imán para atraer clips y observa cómo se alinean en cadena.
Energía Solar con Papel Negro,Coloca un vaso con agua y papel negro al sol y observa cómo se calienta más rápido.
Reacción de Levadura y Azúcar,Mezcla levadura agua y azúcar para observar la producción de gas.
Presion del Aire,Coloca un vaso boca abajo en agua y observa como el aire evita que entre líquido.
Explosion de Bolsa Plastica,Mezcla bicarbonato y vinagre dentro de una bolsa plastica y observa como se infla y explota.
Hielo Instantaneo,Enfria agua en una botella y golpeala para que se congele instantaneamente.
Burbuja de Jabon Congelada,Haz una burbuja de jabon en el frio y observa como se cristaliza.
Globo que No Explota,Sujeta un globo con fuego debajo y observa como el agua en su interior evita que explote.
El Agua que Camina,Coloca servilletas de papel entre vasos con agua de colores y observa como se mezclan.
Luz con una Papa,Usa una papa para generar electricidad y encender un LED con electrodos de cobre y zinc.
Efecto Coanda con Agua,Inclina un vaso con agua y observa como el agua sigue la superficie en lugar de caer.
Fabricación de Papel Reciclado,Tritura papel en agua haz una pulpa y extiendela para crear papel reciclado.
Reacción de Agua Oxigenada y Levadura,Mezcla agua oxigenada con levadura para generar una espuma rapida.
Absorción de Calor con Diferentes Materiales,Coloca distintos materiales bajo el sol y mide cual retiene más calor.
Tinta Invisible con Jugo de Limon,Escribe con jugo de limón y revela el mensaje calentandolo con una vela.
Crecimiento de Moho,Coloca pan humedo en bolsas y observa como crece el moho con el tiempo.
Atracción de Agua con un Globo,Carga un globo con eléctricidad estatica y observa como atrae un chorro de agua.
El Color de las Plantas,Hierve hojas verdes y observa como el pigmento se libera en alcohol.
Hacer Plastico con Leche,Mezcla leche caliente con vinagre y observa la formación de un polimero solido.
Reacción de Aluminio y Cobre,Coloca alambre de cobre sobre papel aluminio con agua salada y observa la reacción quimica.
Osmosis con Papas,Coloca rodajas de papa en agua con sal y sin sal y observa como absorben líquido.
Formación de Nubes en una Botella,Coloca agua caliente en una botella agita y suelta presión para formar una nube.
Ciclo del Agua en una Bolsa,Coloca agua en una bolsa plastica cerrada al sol y observa como se condensa.
Carga Eléctrica con Cinta Adhesiva,Pega dos trozos de cinta adhesiva en una mesa y observa como se repelen al separarlos.
Energía Potencial y Cinetica con una Bola,Coloca una bola en una pendiente y observa como la energía se convierte en movimiento.
Efecto Invernadero en una Botella,Cubre una planta con una botella de plastico y observa como la temperatura interna aumenta.
Hacer un Giroscopio Casero,Gira una bicicleta de juguete con una cuerda y observa la estabilidad del movimiento.
Agua Super Enfriada,Enfría agua en el congelador sin que se congele y hazla solidificarse instantáneamente.
Efecto Doppler con una Fuente de Sonido,Mueve una bocina y observa como cambia el tono cuando se acerca o aleja.
Creación de Slime Casero,Mezcla pegamento bicarbonato y solucion salina para hacer slime.
Conductividad del Agua con Sal,Conecta un circuito eléctrico con agua y observa como la sal aumenta la conductividad.
Cómo funciona un Barometro,Crea un barometro casero con un frasco sellado y observa los cambios de presión.
Formación de Estalactitas y Estalagmitas,Disuelve bicarbonato en agua y deja que gotee para formar cristales solidos.
Tensión Superficial con Clips en Agua,Coloca clips en el agua con cuidado y observa como flotan por la tensión superficial.
Tubo de Ensayo de Arcoiris,Mezcla liquidos de diferentes densidades y observa como forman capas de colores.
Helado en una Bolsa Plastica,Mezcla leche azúcar y esencia de vainilla en una bolsa y agita con hielo y observa como se forma helado.
La Vibracion del Sonido en una Cuerda,Estira una cuerda tensa tocala y observa como vibra al producir sonido.
Construccion de un Motor Homopolar,Usa una pila un iman y un alambre de cobre para hacer un motor giratorio simple.
